name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Flyway,,https://flywaydb.org/,logos/5967cee999640ebfa098bdf33bd8d97aeaeba6dc42ec28a144b08a0db26f9ff4.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-0,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Actions,,https://github.com/features/actions,logos/544558e56e8ec6afb65343e46a37b8f59cc598bb747dc457be1806ad50424def.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-1,,,,,,,,,,,,,,,,,,,,,,,,
GoCD,,https://www.gocd.org/,logos/6650e72dfb9e4973e5d7302aa64d0d4c2aa1c4853ea02ba942cc108176125698.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-1,,,,,,,,,,,,,,,,,,,,,,,,
Grafana,,https://grafana.com/,logos/d1457ab3dbacebd9266d996090002b3c87745a13c5ae7e18a0d532d4cd5558d8.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-3,,,,,,,,,,,,,,,,,,,,,,,,
Jaeger,,https://www.jaegertracing.io/,logos/5877af58428f6cd35e6dc2df2afe82af3b90853bd191670a60111e6e8c01ea54.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-3,,,,,,,,,,,,,,,,,,,,,,,,
Java,,https://dev.java/,logos/088c033a868232322787b7a863e2543c11d2ef7f0f12d91d0df910d658ad4a3a.svg,,,,,,,,,This is the description of Java,,,,,,,,,,,,Category 1,Subcategory 1-1,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript,,https://ecma-international.org/publications-and-standards/standards/ecma-262/,logos/c39aeb4753f8493014ac325ee9279b5fc1d356de958a1bc8996cfc3b2131e36f.svg,,,,,,,,,This is the description of JavaScript,,,,,,,,,,,,Category 1,Subcategory 1-1,,,,,,,,,,,,,,,,,,,,,,,,
Jenkins,,https://jenkins.io/,logos/345eb026a54643f2ae6a08d6c39cc16bdacaef9fe02f6f31f767ade77a25245f.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-1,,,,,,,,,,,,,,,,,,,,,,,,
Kafka,,https://kafka.apache.org/,logos/4314748816c45845b6917e263b534e4f12c2092660fc5cf207be1ecc05953dee.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-2,,,,,,,,,,,,,,,,,,,,,,,,
Liquibase,,https://www.liquibase.com/,logos/51e6b8e71805f3ede429c24a99dd0ee9fee06e4f4e3952d7a489d028ffa27758.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-0,,,,,,,,,,,,,,,,,,,,,,,,
Logstash,,https://www.elastic.co/logstash,logos/42d45a7954025aa212c2bc089c32c95c1a3cac38d2353ab5b8b7fdbbe45c478d.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-3,,,,,,,,,,,,,,,,,,,,,,,,
MariaDB,,https://mariadb.com/,logos/1da442731f0fedb864c590aeb6f8d5edc8b16c8347856b06773822de19612baf.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-1,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft SQL Server,,https://www.microsoft.com/en-us/sql-server,logos/73cbcb1ad5d7b1707def0bdf33348f8f5d0a20355b7fb3cf92e96c5bb8cff785.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-1,,,,,,,,,,,,,,,,,,,,,,,,
MongoDB,,https://www.mongodb.com/,logos/b93de30b5e38e1071b77414e7af37dadc72af000ed575cee8b662c20d3894f2d.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-2,,,,,,,,,,,,,,,,,,,,,,,,
MySQL,,https://www.oracle.com/mysql/,logos/3aeabe51f00910c39904fa1b2e5ff3f3cf57eae439c0efe869236cc14831e8b1.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-1,,,,,,,,,,,,,,,,,,,,,,,,
New Relic,,https://newrelic.com/,logos/f7da2fdfe2a50f2b6cecc6258bd6e1a1eaea766fbc2203e1010a000018841fec.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-3,,,,,,,,,,,,,,,,,,,,,,,,
next.js,,https://nextjs.org/,logos/84b34b0392ca31b273aaacd4013403b749dd308891c8c597ad5ebd088c3b02f0.svg,,,,,,,,,,,,,,,,,,,,,Category 1,Subcategory 1-0,,,,,,,,,,,,,,,,,,,,,,,,
Oracle Database,,https://www.oracle.com/database/,logos/791ba450bd602c54fca5fa05c38d37d1594356ed55ef14e143d8707d0d499d13.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-1,,,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL,,https://www.postgresql.org/,logos/30641cb9a29982a2d6d0228dffd1b5dcdaa9908aa40e525db19980dbdfa34df7.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-1,,,,,,,,,,,,,,,,,,,,,,,,
Prometheus,,https://prometheus.io/,logos/4d6a2b87a6c9a01ed1b82cef5db978e273adb99fda44d47e5dae48f75207147c.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-3,,,,,,,,,,,,,,,,,,,,,,,,
Puppet,,https://puppet.com/,logos/a6133c47fdf8f39c09a2316d090bf2ffbb646166a8f476d8ef16c2e2b7e3eb93.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-1,,,,,,,,,,,,,,,,,,,,,,,,
Python,,https://python.org/,logos/baec8662a1461c2cacc326b54d2727cb2f1ce07ba02d00f5b826d035104f649f.svg,,,,,,,,,This is the description of python,,,,,,,,,,,,Category 1,Subcategory 1-1,,,,,,,,,,,,,,,,,,,,,,,,
React,,https://react.dev/,logos/3b491fa9e63631b00d92d0bc21550f9cccf15234e8749df3a65d7daa77a1f781.svg,,,,,,,,,,,,,,,,,,,,,Category 1,Subcategory 1-0,,,,,,,,,,,,,,,,,,,,,,,,
Redis,,https://redis.io/,logos/c6e35f4680398280950d6e9400e87463a294cd0951c5bcc37e6b8a0383b53f8c.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-2,,,,,,,,,,,,,,,,,,,,,,,,
Snowflake,,https://www.snowflake.com/,logos/db7cc8da3e80bd3e7c0cf61843d2c428036a5cb4f258cb4d3ea20b5599dd5768.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-2,,,,,,,,,,,,,,,,,,,,,,,,
Snyk,,https://snyk.io/,logos/c193a727524eb0908449047a77545319b4d9acb2e0b3a36253161a57c2649838.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-2,,,,,,,,,,,,,,,,,,,,,,,,
Splunk,,https://www.splunk.com/,logos/6c94432178bc2cc10e0a25aca4c622a8fe3249ae172d1aa7521372631078caab.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-3,,,,,,,,,,,,,,,,,,,,,,,,
Spring Boot,,https://spring.io/projects/spring-boot,logos/617cf5b2f3384fe164ff43fecdbcd5a704eb27b051287fd9c997166ebae1ba64.svg,,,,,,,,,,,,,,,,,,,,,Category 1,Subcategory 1-0,,,,,,,,,,,,,,,,,,,,,,,,
Terraform,,https://www.terraform.io/,logos/7d2c2d1d15a965cb200048d77e251a234201b6160d7eae43d9fbc997b93a2497.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-1,,,,,,,,,,,,,,,,,,,,,,,,
TypeScript,,https://www.typescriptlang.org/,logos/ed260b281bc5e4d92ea7e2b00d2430978cf4ca3cd469d2080cda469f35245252.svg,,,,,,,,,This is the description of typescript,,,,,,,,,,,,Category 1,Subcategory 1-1,,,,,,,,,,,,,,,,,,,,,,,,
Vue.js,,https://vuejs.org/,logos/2367ae20c4a1fe95fea9b03def3b11097bcebaf60ebb744eb96667990599153a.svg,,,,,,,,,,,,,,,,,,,,,Category 1,Subcategory 1-0,,,,,,,,,,,,,,,,,,,,,,,,
